DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
18883,__label2__,5,Y,Musical Instruments,B005HGM1D6,"Hosa CMP-159 3.5 mm TRS to Dual 1/4 inch TS Stereo Breakout Cable, 10 feet",Exactly as advertised,The cable was as advertised and very cost-effective.  It was ordered to meet my daughter's need and it does exactly what I needed it to do.
7701,__label1__,5,N,Apparel,B00FDKN4PA,Villydan HOT Sexy Lingerie Stylish Fishnet Body Stocking,The material feels great against my skin and my hubby loves it,This fit perfectly. I'm quite slim so I didn't think there would be a problem. The material feels great against my skin and my hubby loves it. I must say if you are going to purchase this I would recommend buying a few. After he gets a look at you wearing this you won't be wearing it for very long. Maybe the leggings. If your looking to spice up the bedroom this is def the way to do it. I noticed they sell other types which I'm very interested in too.
5019,__label1__,5,N,Wireless,B00E8GYISW,"Apple iPhone 5 5S Slim Case: Amplim High Defination Gray Black IML / IMD Cover (AT&T, Verizon, Sprint, T-Mobile) - Retail Packaging (Alloy Diamond)",Perfect,I wanted a very basic case for my new iPhone 5. I am not rough on phones and didn't want a bulky case.I didn't want a screen protector either because I have not been satisfied with the feel of any I have tried. This case is perfect for me. I was looking to have something easy and good. My iPhone looks very nice. It is so beautifully designed and protect my phone very well. I get a lot of comments on the high resolution print and the vivid color of this case.
1475,__label1__,4,N,Tools,B007C6LHXY,"Craftsman 9-31794 Slotted Phillips Screwdriver Set, 17 Piece",A great screwdriver to own....,"Easy of operation,storage of bits is very innovative, you can adjust the driving force/torque to some extent....overall very user friendly..."
4967,__label1__,5,Y,Kitchen,B00KNK0M1O,Savvy Infusion Water Bottle - 24 Oz,This water bottle is so great!!,This water bottle is so great!!!! I am able to put any fruit in the infuser part of the bottle and it flavors my water with the fruit of my choice. I was surprised to find out that the fruit flavor lasted all day. This makes water much better to drink and I carry this bottle with me everywhere now. I am so happy that I ordered this product. I have been telling all my friends that they have to have one of these.
6242,__label1__,5,N,Baby,B00643FPKW,"Philips AVENT Nighttime Disposable Breast Pads, 20-Count",Very helpful,I liked the concept. It makes you free of tensions when you go out or even at home.<br />Good product with good quality.
475,__label1__,3,Y,Pet Products,B00K5O6YXI,#1 Rated Dog Training Collar with Remote Clear L.c.d Display with Ergonomic Design Great for Dog Training and Stop Barking 100% Satisfaction Guarantee,Only product that stopped our dog from chewing random stuff around the house.,From chew toys to bitter apple we tried everything to stop our dog from chewing random stuff. But those only worked to slow him down. With the collar it was easy. Whenever he started chewing anything he was not supposed to we gave him a little shock and it worked like a charm. After a few training sessions he has now completely discarded his chewing habit.
19607,__label2__,5,Y,Watches,B003P1OCW8,Bulova Men's 96B127 Precisionist Claremont Black Leather Watch,Been burnt before but this watch is great,"Have purchased watches on-line before but been disappointed. This one however is genuine and is a very classy watch. The watch face glass is curved which (i think) gives it a really classy look. Nice size too, very happy with my purchase. Recommend."
3317,__label1__,4,N,Automotive,B000NVW1LM,"ATP AT-205 Re-Seal Stops Leaks, 8 Ounce Bottle",Works,"Bought it, poured it in and it worked instantly. I would use it when needed again, mechanic in a bottle. Would only work for minor problems though, will not work miracles if you know what I mean."
2715,__label1__,4,N,Apparel,B001HO5J90,Air Mail Par Avion Tyvek Mighty Wallet,Worked perfectly,"This is the coolest wallet I've ever owned in my entire life. It's comfortably thin, has pockets for cards, and water proof. I kept my first one in my back pocket for over a year  before it started unraveling on me. I tried taping it back together, but that didn't work out too well. Well, at least now I can get another design without having to feel too guilty about it. If you're looking for a wallet that'll last you a lifetime, this is not it. But if you're looking for something that'll make people ooh and ahh while it lasts, then get this awesome wallet."
8919,__label1__,5,N,Musical Instruments,B0071I48GG,"Pyle PWMA430U - Wireless Rechargeable Portable PA System, USB/SD/FM Radio, Handheld Microphone, 300 Watt",2nd choice,I made the mistake in purchasing another smaller pa that lacked several features the Pyle-pro PWMA430U offers and virtually produced volume at speaking levels.<br /><br />The PWMA430u excels in sound reproduction.<br />The costs nearly double but what's the good if not audible. Worth every penny.
5702,__label1__,5,N,Tools,B001EHEFT0,Snap-On 870111 16-Inch Utility Tool Tote Carrier,easy access,like to have handy on the floor board. it is accessible fast when you need to grab something. easy to see what you are looking for. great quality.
5949,__label1__,5,N,Automotive,B004ETGQKG,JH Smith Car Snow Cover,It works,"If you live in an area that has a lot of winter snow, you will love this car cover. I bought one for myself and my friend. I have a small car, and my friend has a SUV. The cover worked fine for both our cars. It even covered the wipers! Part of the cover goes inside the car to add to the cover's security. Magnets are on the edges to keep it in place on the windshield. The cover is lightweight; so, it's easy to use everyday if neccessary. We just had our first snowstorm for the year, and the cover held up just fine in the midst of gusting winds.  I also have the added bonus of not having to scrape off windowshield ice. I would highly recommend this cover to anyone living in a snowy environment."
4060,__label1__,2,Y,Lawn and Garden,B004P3LDEU,INTEX Cleaning Maintenance Swimming Pool Kit with Vacuum & Pole,Good for intex pools,Its ok. I wouldnt buy it again. The net keeps coming off the back part and small particles are passed through. The big particles are caught. Good for intex pools only
19104,__label2__,4,Y,Watches,B00322PK3K,Swatch Women's GO105 Quartz Orange Dial Plastic Casual Watch,"The band discolored pretty quickly, but got really bad as time progressed","Bought this for my wife for christmas 2012.  The band discolored pretty quickly, but got really bad as time progressed.  I contacted Swatch and they sent us a replacement band at no cost.  Great customer service.  Watch is still being worn daily."
10629,__label2__,3,Y,Office Products,B000BMBU9M,"Avery Removable Color Coding Labels, 0.25 Inches, Assorted, Round, Pack of 768 (5795)",Your ordinary color code dots,Large pack of the color coding dots.  I use them to mark which exercise DVD's we have used recently and liked.  I use the colors as rating codes.  Works well and the price is right.  Easy to see them from the bindings.
11389,__label2__,5,Y,Pet Products,B000HG7302,Ware Manufacturing Mineral Candy Chews Small Pet Treat - Pack of 4,It's great.,I have pet rats and they love these. No sooner than I put these in there cage their cage they started chewing on them. They like anything like these
16458,__label2__,2,Y,Musical Instruments,B007SQZJSM,Cordoba C5-CETBK Thinbody Acoustic Electric Nylon String Classical Guitar,Could be a great instrument but...,"It came in badly fret-buzzing all over the fretboard.  I guess I should have set my expectations, buying an instrument from Amazon, but it was unplayable and it's a shame I think to ship instruments without checking them..."
11064,__label2__,3,Y,Sports,B0027VMIAU,"Doc's ProPlugs (pair) Clear, Vented - Small",Works great until you lose em,"Works great until you lose em.. Make sure you get the right size! I've lost about 3 pairs surfing, not because they fall out but my hands get caught in the leash and I just yank em out of my ear by accident and it is gone! Wish they made it some other color so it would be possible to actually find it in the ocean"
19136,__label2__,5,Y,Books,1570761183,Mary Thomas's Dictionary of Embroidery Stitches,"A ""must-have"" for every Needleworker",I've embroidered since I was 10 y.o. - - This book probably has every stitch you would commonly use or need for projects. I think the diagrams are clear and easy to understand. Glad to have purchased and added this to my needlework library.
20850,__label2__,5,Y,Home Entertainment,B0096YOQRY,VIZIO E320i-A0 32-inch 720p 60Hz LED Smart HDTV (2013 Model),dont understand the bad reviews..,"I've had this TV for 2 weeks and I'm very satisfied with the performance thus far. Believe me, paying less than 290.00 (which included free shipping and for some reason no sales tax was added) The picture has been crystal clear, sound quality is good (did purchase SONY sound bar system at the same time with the money I saved) Set-up was ridiculously easy (in my bedroom) and sha-zam! Apps have worked great so far, no problem with Netflix. Vizio was suppose to introduce the M series by the first quarter of the year, here it is almost June so lost my patience and took chance on the E series, no disappointments (but damn, when are they coming out with the M series)"
16656,__label2__,4,Y,Apparel,B00284B77Q,"Anita Women's Extreme Control Sport Bra, White, 34E",Nice support with no underwire.,"I ordered a 34 E because they didn't have DD listed. It fits great. There is a little bit of bounce with jumping. I do have to readjust, pull down the sides after wearing it a few hours. Overall it's a good bra for moderate activity and a great value for the price."
17358,__label2__,5,Y,Musical Instruments,B005GLO8X8,Trophy FX12OR 5B Firestix Mango Tango Orange,Firestix,I bought these drum sticks for my son.  He loves them!  They arrived before we expected.  Nice!!  They are very cool and light weight.  He will be using them for a drum solo.  I can't wait to see the reaction of the audience.
2584,__label1__,3,N,Luggage,B00C8OK9NE,Wingeler Fashion Cartoon Heart Unisex Canvas Shoulder Bag Handbag School Bag Backpack - A5 (black),so nervous,"I'm so nervous about using this since it feels really flimsy. I know that it's for kids, but doesn't that make it worse? Kids break even the toughest bags all the time! I would be very nervous about recommending this to other people as well."
8410,__label1__,5,Y,Camera,B00EX4TT92,"MegaGear ""Ever Ready"" Protective Dark Brown Leather Camera Case, Bag for Canon PowerShot G16",Highly Recommend,A great camera case for a great price. I am really happy with it. It is compact yet efficient and I would not need anything else than this case.
2880,__label1__,1,N,Office Products,B004QF0PYG,Canon MP280 All-in-one Printer (4498B030),Always having problems with it.,"I dont expect a printer this cheap to work forever but after just one year it simply starts to behave strange.<br />Takes now more than a minute to print a page, makes a lot of strange noises and often suddenly just powers of.<br />I wont buy Canon again. Its a simple decision."
3395,__label1__,4,Y,Automotive,B00L40FQ4K,Wotefusi Car New One Piece Interior Air Fresheners Decorative Solid Perfume Apple Style Green Color Apple,Freshened the air almost instantly,"My car smells greater now! Thanks to this product, anyone who rides my car won't suffer from bad odors anymore. The apple shape is cute. Clings on to the grills of the AC effectively."
5217,__label1__,5,N,Beauty,B009YCEMU4,100% Australian Tea Tree Oil + FREE Blemish Roll-on Stick with Tea Tree Oil,Blemish free,"I bought this Australian tea tree oil because I had heard of the wonderful healing that people had seen after using it.  I got a very bad burn and thought I would give it a try.  I thought it was great that I was getting a blemish roll on stick for free.  Well,I love the blemish stick!  It is so easy to use and I have found that it really has helped my complexion to look better. I have found that it does a great job of getting around my ear, where I was burned, too."
5171,__label1__,5,N,Pet Products,B00LZQ093Q,"Deshedding Tool Easily Stops Shedding Fast - 60% Off Price Today – PREMIUM Pet Grooming Tool For Small, Medium & Large Dogs + Cats, With Short To Long Hair. Deshedder Will Brush Out Dead Hair In Minutes GUARANTEED!",My Kitty Says Yes!,So my cat actually likes being brushed with this tool. Very easy to use. It's a one piece tool. Quick shipping from Amazon too.
5765,__label1__,5,N,Office Products,B0013CFDPQ,"BIC Wite-Out Brand EZ Correct Correction Tape, 2-Count",White out correction tape is the way to go! ...,"White out correction tape is the way to go! Using the old white out, while losing the added benefit or detractor of losing brain cells, also makes it much neater. The plastic housing can sometimes come apart, but overall it gets the job done. Amazon offered this as an add-on deal when I made a different purchase."
386,__label1__,4,N,Kitchen,B000AAYWN6,Rival CFF5 Chocolate Fondue Fountain,chocolate madness!,"My wife bought this for the celebration of my birthday party. The guests really enjoyed it while having a conversation with each other. After the party is over, it's cleaning time! The dishwasher helped burden our task. This is a must-have for every party!"
20082,__label2__,5,Y,Apparel,B001VFQ3CM,San Diego Hat Visors Visor - Black/Multi - One,Excellent,"Excellent quality, rolls small for traveling and storage. I have used this for years. I will be buying another San Diego Hat Company hat."
2768,__label1__,4,N,Camera,B007261A36,Samsung DV300F Dual View Smart Camera - Black (EC-DV300FBPBUS) (Discontinued by Manufacturer),camera,I can take pictures with it as it is linked to my phone and then share the pictures using my phone internet when WiFi is not available. This is why I bought the camera in the first place because my cell phone camera bit the dust. I also like the fact that you can share pictures to Facebook or other social networks straight from the phone or email them.
15818,__label2__,5,Y,PC,B001SJEGDE,Mini-DVI to VGA Female Monitor Cable Adapter,Does what it's supposed to at a very reasonable cost,It worked perfectly - I bought it for a long-term house guest (a relative) who has a mac laptop with a failing display.  She plugged it in and it started working immediately.
19719,__label2__,5,N,Video Games,B0000A8VC2,Gotcha Force!,Love it,Ive hunted this game down finally and im glad i bought it. Was a game from my childhood and its fairly hard to find.
11137,__label2__,5,N,Tools,B000NIFJQE,Stanley 85-753 22 Piece Long Arm SAE & Metric Hex Key Set,Nice Set And Handy To Have Around,I have owned tools for more than sixty years and recently had issues in trying to remove some allen head screws on a new vehicle. That was when I learned that I did nto own a metric size set of allen wrenches. These are perfect for many of the newer uses we find today and the are long enough to get some torque on the screw. Great buy.
7047,__label1__,5,N,Grocery,B00KXDPS60,"Julian Bakery Paleo Coconut Flakes (Low Carb & Gluten Free) Cereal, 10 Servings",Was looking for this!,"Everyday It's a must for me to eat a well balanced breakfast(most important meal of the day),therefore,I needed to find a source of fiber that were gluten free also.Searching around the cereal topic on google I found this one.Despite the price I decided to give it a try.<br />This is one of the most tasty cereals I have ever eaten,one can taste the coconut almost to the point that you think you are eating coconut alone.I could eat 1 to 2 bowls in a morning and never get bored.<br />This is what I was looking for."
15537,__label2__,5,Y,Furniture,B00EUU5JIY,"Serta RTA Palisades Collection 73"" Sofa in Flagstone Beige, CR43534PB",Great bang for your buck!,"This is fantastic! I live in an upstairs unit and needed help bringing this up (this shipped in a 100 pound box, so I took the box apart and carried the two pieces up separately) but the packaging was very well done. This was so easy to put together and is incredibly comfortable...this is a great &#34;first couch&#34;!"
8740,__label1__,5,N,Video DVD,079284646X,Platoon,another War movie to add in my dvd stash,"great war movie and a classic one, a friend told me he purchased this movie here and I was really happy to receive it, because it was this movie that made me a collector of war movies, I do like the drama and the thrill  and watching this with popcorn and friends is just great..."
6780,__label1__,5,N,Lawn and Garden,B00U199G6E,"Frostfire Plug In Electromagnetic, UltraSonic and Ionic Pest Repeller",Great product,"Great product, great packaging, great price, great speed of delivery! Thank you! The most humane and effective way of deterring pests I have ever used. Pests are in the past since I plugged in"
4485,__label1__,5,Y,Health & Personal Care,B00D6OYDL4,100% PURE Garcinia Cambogia Extract -95% HCA (Highest Available) Up to 7000/mg day for Maximum Results - Highest Garcinia Cambogia and HCA content on Amazon - Clinically Proven for Weight Loss,noticeable results,"I've been using it for a while now and I can see some noticeable results. I've lost 3 pounds in this short duration and I also feel very energetic throughout the day after it intake. Worked great for me, very happy with the results."
16607,__label2__,5,Y,Musical Instruments,B0002OOMU8,Dunlop Series 5005 Pickholder,fits all,I bought the truckload of picks and it holds around twenty at a time handy handy<br />handy  Love it alot
13898,__label2__,5,Y,Beauty,B00163NKKM,OPI V12 Cha-Ching Cherry,Can't go wrong with this!,Love this color. Really can go with any season. Stays in place . No chipping same day it's applied. Great product.
3949,__label1__,1,Y,Automotive,B000R3X0WA,Sunshade for MAZDA CX-9 CX9 2007 2008 2009 2010 2011 2012 2013 2014 2015 HEATSHIELD Custom-fit Sunshade #287,Slow Shipping,Don't know the quality of item yet because it's has taken a week just to build a label for the item and start the shipping process.
15894,__label2__,5,Y,Health & Personal Care,B009TAKESK,E-Z Weight Loss Pills + EASY Diet Tea. Fast Fat Burner & Appetite Suppressant. Rapid Weight Loss Supplement. Lose Weight 100% Guaranteed!,Ez weight loss,Great product it really works ! It's simple and easy to use! It keep you Regular and give you alot if energy
18399,__label2__,4,Y,Automotive,B000BNZPT2,Bully LH-007WD Integrated O.E. Tailgate Lock,"Good, for the money","Very easy to install. Looks factory. Plastic is not as heavy duty as the original, but it is nice to be able to lock the tailgate to deter less than honest folks. Keys were better than expected. They were fairly high quality."
2572,__label1__,3,N,Toys,B008D9MT68,Furreal Friends Bouncy My Happy-To-See-Me Pup Figure,Little disappointed,"This is such a cute puppy. I am a little disappointed that it doesn't or can't relax a bit without just being powered off. I thought the barking and all the sounds it makes was cute, but the non stop spinning and jumping and spinning some more is almost to much."
5231,__label1__,5,N,Outdoors,B00IEU8A6Y,"Ultra Premium Silicone Swim Cap for Men and Women to Keep Your Hair Dry - Covered by Swim Culture's Industry Leading Lifetime Warranty - Recreational, Competitive and Fitness Swimmers - Lightweight and Comfortable for Adults, Children, Boys and Girls - Greater Durability Than Latex Swimming Caps (Silky Silver)",BEAUTIFUL SWIM CAP.,"It's a very unique Swim cap, it has a greater quality than all of my previous swim cap that I tried before. I have been using it for months, it's really durable."
18530,__label2__,5,Y,Furniture,B00O6UDGJC,"Safavieh Rag Rug Collection RAR121B Hand Woven Blue and Multi Cotton Area Rug, 8 feet by 10 feet (8' x 10')","good deal, nice product.",This rug was perfect!  It is nice quality and the colors are very bright and consistent throughout.  It has magenta strips mixed in which were perfect for the room I put it in.
7913,__label1__,5,Y,Office Products,B00G5TWOPO,"A&D Products Compatible Replacement for Brother DR350 Drum Unit (12,000 Page Yield) For Use With Brother DCP-7020, IntelliFax-2820, IntelliFax-2910, IntelliFax-2920, HL-2040, HL-2070N, MFC-7220, MFC-7225N, MFC-7420, MFC-7820N Printers",Brother DR350 Compatible drum unit,Product was professionally packaged and worked right out of the box. Still no problem after a week of using.
5972,__label1__,5,N,Toys,B00E1I87KM,Neat-Oh Hot Wheels 9 Car Travel Tote with Car (Car Styles May Vary),I love this case it is the perfect size for my ...,"I love this case it is the perfect size for my grandson to bring some cars over to grandmas when he comes.  It hold 9 matchbox cars, has a zipper to open and close and a nice handle to carry. The details are nice and bright and vivid. I love it perfect gift!! It even came with a red car !!!"
3231,__label1__,1,N,Lawn and Garden,B002NKMG5M,"Generac 5791, 800 Running Watts/850 Starting Watts, Gas Powered Portable Inverter",Piece. Of. Crap,"Do not buy this. I repeat, do not buy this. Get a better one, get a bigger one, it doesn't matter. Just<br /><br />don't buy this piece of crap.<br /><br />It leaks, it cracks and it can't power much of anything. Just read through the other reviews since they<br /><br />are saying pretty much what I'm saying."
11454,__label2__,5,Y,Toys,B005BU7Q0G,Disney Park Exclusive Minnie Mouse Ears Headband Wedding Veil,Looked So Hard For These,"Originally found them on our Disney Cruise honeymoon. But thought I could pick them up at Downtown Disney later in our trip. Well, I was wrong, which led to me searching high and low.  I found them on Amazon.  I love them.  I am wearing them on our one year anniversary this year!!!<br /><br />Every bride should have a pair!"
7749,__label1__,5,Y,Outdoors,B00VQU2RK4,Peak Performance 1.5 Gallon Collapsible Water Carrier,great product to carry water,This is the best water carrier I have ever seen. I have never seen a collapsible water carrier. What makes this a great product is it is easy to store when empty and it is also easy to transport if you have to. It is sturdy with great handles and easy to pack. It is great for camping and any place you go .
10903,__label2__,5,Y,Kitchen,B003YKGR5U,Chicago Metallic Non-Stick 2-Piece Angel Food Cake Pan with Feet,found that I love angel food cake,I make a lot of custard based ice cream. I end up with a lot of eggwhites. This pan is great for making angel food cake. 12 egg whites per cake!
12518,__label2__,5,N,Office Products,B003X242PQ,"Falcon Dust-Off Professional Electronics Compressed Air Duster, 12 oz (12 Pack)",It's canned air. What can go wrong?,"getting harder and harder to find these w/free shipping, so that's why I went with the 12 pack...but we use them and they're exactly what you'd expect. Good, strong pressure. We use for computer and TV electrical components and with 12 I can leave a can by each and blow out the dust more often, which is better for the components too."
17872,__label2__,5,Y,Electronics,B001F7AHOG,Apple MC297LL/A iPod Classic MP3/MP4 Player 160GB Black (7th Generation) (Discontinued by Manufacturer),"Simple, simple, simple.","This is my second classic and I love it.  I have one of the original high capacity iPods that would probably survive being run over by a mac truck.  This one is half the size.  I've dropped my other one (accidentally, of course) and it comes through fine.  Functionality is about the same.  I just want a device that plays music without capability to do a moon shot.  That's this one.  If you want all the other goop, keep looking."
18054,__label2__,5,Y,Video Games,B010B6EKVC,Palutena amiibo (Amazon Exclusive),Amazon is really good at this!,"I was one of the lucky people to get it for the regular price! I went through error pages for a while, but I finally got it! I'm so excited right now! Thank you so much, Nintendo and Amazon!"
2798,__label1__,4,N,Outdoors,B000YJPCLO,Razor RipStik Ripster (Blue),It gives good impression on my niece,"Bought this as a gift for my niece and he really loved it. I don't know what's the basis of these boards but it looks like it is made from a high quality rubber and plastics. Very thick and hard compounds. The wheels does look good but I don't know if it will last longer than expected. I think the overall product, and the idea of it, pleases kids and teenagers who love the idea of skateboarding. ( It is similar to skateboard in my opinion )."
14607,__label2__,1,Y,Wireless,B00F94NKYK,"iPhone 5C Case, E LV heavy Duty Rugged Dual Layer Hybrid Armor Defender Case Cover for iPhone 5C with 1 Screen Protector, 1 Stylus and 1 Microfiber - ZEBRA HOT PINK",Black wore off after a day.,"If I could give negative stars I would. After a day the black on this case started wearing off, which looks ugly. So if you're looking for a case this is NOT it. The thing is I didn't have my phone anywhere that would rub off the color."
6445,__label1__,5,N,PC,B0058UUR6E,"ASUS VS248H-P 24"" Full HD 1920x1080 2ms HDMI DVI VGA Back-lit LED Monitor",performed flawlessly,"I originally did not buy my monitor, but I bought mine 15 months ago. This monitor has performed flawlessly for me in a lot of different applications. You will not be disappointed with this product if you decide to purchase it!"
9381,__label1__,5,Y,Tools,B007BLZ7TK,"TEKTON 2938 Quick-Change Power Nut Driver Bit Set with Detents, 14-Piece",can't live without this now,"This set is sooo helpful because you just put a bit into your drill, and you're done. It's great for bolts and it's really good for everyday uses. So easy that my daughter even uses it to work on her bike. And she is only 11!"
17516,__label2__,3,Y,Kitchen,B007MXRBTG,"Paderno World Cuisine Wood Handled Wok Brush, 10-7/8-Inch Length",Works well with caveat.,"I cut the handle off mine, it being to long and just got in my way.  I like the width of the head, it's a perfect size for my hand to grip.  The major down for this brush are the bristles.  They are kept in place by the friction of the bristles in their mounting holes.  I would have preferred they be secured by some form of glue.  As you use the brush the bristles will gradually come out of their mounting holes.  I've been gradually plucking out the loose bristles as I've been using it.  I doubt it'll last the year at the rate the bristles are falling out.  I'll probably take action and use a hot epoxy to flow across the head, or perhaps some super glue to set the bristles.  Otherwise, this brush does a good job cleaning up a wok post haste."
1490,__label1__,1,Y,Home,B00CTQRDKI,Hanerdun&reg; Womens Apron Ladies Cute Apron Lovely Fancy Maid Set Apron Black Bowknot Apron With Pocket Gift Idea,Super cheap looking in person. Bad quality fabric........,"Super cheap looking in person. Bad quality fabric. Nothing I liked about this at all.The apron size is very small, for the children but not for the adults."
6271,__label1__,5,N,Home,B00LXQC0RQ,Champ Grip. The Strongest Grippers Mop Broom Holder Found only on Amazon with 5 Ball Slots and 6 Hooks. Items Stay Put Guaranteed Non Slide..,Great Product,I would rate this A+++ product. The ball grips tight on the stick and it does not slide at all.I tried it on my umbrella and it works too. Its fantastic. I can throw away all my previous broom holders as they all slide my brooms down.This is the one and I have finally found it. Thanks to Amazon and Champ Grip. It's a Great product.
2175,__label1__,4,N,Toys,B00081RYNC,Rubik's Cube (Discontinued by manufacturer),"Well built, kinda stiff","Good for the whole family. This is well built rubik's cube, so well built that I couldn't open it up to put some petroleum jelly in it. It is a bit stiff out of the box. Doesn't have any lubrication but moves fairly easily."
6533,__label1__,5,Y,PC,B00MIWRGY6,Boxlegend Tempered Glass Screen Protector For Apple Ipad Mini 1 2 3 screen protector Hd Clear film Ultra Thin Guard Anti-bubble screen  replacement,The screen protector is easy to install and works great on my ipad. I am happy with the product and would recommend it.,The screen protector is easy to install and works great on my ipad. I am happy with the product and would recommend it.
14488,__label2__,5,Y,Home Improvement,B000FDYBV6,"Lite Source LS-3497SS Torsion Metal Table Lamp, Satin Steel",Beautiful and classy,So pleasantly pleased with this purchase.  Lamp is heavy weight and not at all flimsy.  Looks elegant in my room.  It was packaged very snugly and arrived in perfect condition.
19984,__label2__,4,N,Apparel,B004R8RLGM,"Dickies Women's Flat Front Stretch Twill Pant, Black, 2 Regular",Cute and flattering,"These pants are very cute and flattering; perfect for work.  They are not super durable, however; they tore the second time I wore them!  I was able to mend them, but I was really surprised at how easily they tore."
